Ticker,Title,Summary,URL,Datetime,News Age (Days),News Time,Current Price,1 Hour Ago,4 Hours Ago,Previous Day Close,7 Days Ago,1 Hour Ago % Change,4 Hours Ago % Change,Previous Day Close % Change,7 Days Ago % Change,Headline Sentiment,Summary Sentiment
CSCO,SES Space & Defense Awarded Sustainment Tactical Network Contract to Support U.S. Army,"RESTON, Va., August 04, 2025--SES’s wholly-owned subsidiary, SES Space & Defense, has been awarded a five-year Sustainment Tactical Network (STN) contract, to provide the U.S. Army with COMSATCOM services. Under the USD 89.6 Million agreement, the initiative will support strategic long-haul network transport and base-support communications for Combat Service Support, Department of Defense (DoD) programs, and additional U.S. Government agencies.",https://finance.yahoo.com/news/ses-space-defense-awarded-sustainment-132100413.html?.tsrc=rss,2025-08-04 09:21:00-04:00,0,2025-08-04 09:21:00-04:00,68.18,68.18,68.18,N/A,67.7,0.0,0.0,N/A,0.71,0.0,0.87
CSCO,AppOmni Innovations Combat Rising Security Risks From SaaS and AI,"LAS VEGAS, August 04, 2025--From Black Hat, SaaS security leader AppOmni, expands platform to combat emerging artificial intelligence and SaaS risks and offers 90-day free trial.",https://finance.yahoo.com/news/appomni-innovations-combat-rising-security-125900269.html?.tsrc=rss,2025-08-04 08:59:00-04:00,0,2025-08-04 08:59:00-04:00,68.18,68.18,68.18,N/A,67.7,0.0,0.0,N/A,0.71,0.0,0.69
CSCO,Cisco Systems Stock: Is Wall Street Bullish or Bearish?,"Even though Cisco Systems has outpaced the broader market over the past year, Wall Street analysts maintain a cautiously optimistic outlook on the stock’s prospects.",https://www.barchart.com/story/news/33856248/cisco-systems-stock-is-wall-street-bullish-or-bearish?.tsrc=rss,2025-08-04 08:16:14-04:00,0,2025-08-04 08:16:14-04:00,68.18,68.18,68.18,N/A,67.7,0.0,0.0,N/A,0.71,0.0,0.54
NET,Three Elite Growth Companies With Significant Insider Ownership,"As the U.S. stock market grapples with recent volatility driven by weak employment data and renewed tariff concerns, investors are increasingly focused on identifying resilient growth opportunities. In such an environment, companies with strong insider ownership can be particularly appealing, as this often indicates confidence in the business's long-term prospects and alignment of interests between management and shareholders.",https://finance.yahoo.com/news/three-elite-growth-companies-significant-113531011.html?.tsrc=rss,2025-08-04 07:35:31-04:00,0,2025-08-04 07:35:31-04:00,206.89,206.89,206.89,N/A,199.74,0.0,0.0,N/A,3.58,0.38,0.93
NET,Cloudflare (NET) Reports Increased Revenue Amid Higher Losses and Updated Earnings Guidance,"Cloudflare (NET) recently announced significant updates, including a revenue guidance for Q3 and full year 2025, as well as its second-quarter earnings reflecting a year-over-year growth in sales but widening net losses. While the company's stock surged 67% last quarter, likely boosted by these developments, it occurred alongside a broader market uptrend, with the S&amp;P 500 seeing solid gains despite economic uncertainties like tariffs and a weak jobs report. Cloudflare’s innovative product...",https://finance.yahoo.com/news/cloudflare-net-reports-increased-revenue-180620485.html?.tsrc=rss,2025-08-01 14:06:20-04:00,2,2025-08-01 14:06:20-04:00,199.16,201.7,205.23,207.71,199.06,-1.26,-2.96,-4.12,0.05,0.12,0.75
NET,"Cloudflare Q2 Earnings and Revenues Beat Estimates, FY25 View Raised","NET beats Q2 earnings and revenue estimates, driven by enterprise growth and security demand. NET Raises full-year outlook on strong momentum.",https://finance.yahoo.com/news/cloudflare-q2-earnings-revenues-beat-154100787.html?.tsrc=rss,2025-08-01 11:41:00-04:00,2,2025-08-01 11:41:00-04:00,209.33,205.23,206.79,210.22,199.46,2.0,1.23,-0.42,4.95,0.0,0.78
HMC,Honda’s global output down just 1% in June,"Vehicle production in Asia outside Japan declined by 19%, driven down by a 23% plunge in Chinese output to 317,257 units.",https://www.just-auto.com/news/hondas-global-output-down-just-1-in-june/?.tsrc=rss,2025-08-04 07:15:42-04:00,0,2025-08-04 07:15:42-04:00,31.66,31.66,31.66,N/A,33.31,0.0,0.0,N/A,-4.95,-0.08,0.0
HMC,"Exclusive-Tesla's brand loyalty collapsed after Musk backed Trump, data shows","LOS ANGELES, August 4 (Reuters) -Tesla for years had more repeat U.S. customers than any other major automotive brand but its loyalty has plunged since CEO Elon Musk endorsed President Donald Trump last summer, according to data from research firm S&amp;P Global Mobility shared exclusively with Reuters.  The data, which has not been previously reported, shows Tesla’s customer loyalty peaked in June 2024, when 73% of Tesla-owning households in the market for a new car bought another Tesla, according to an S&amp;P analysis of vehicle-registration data in all 50 states.  That industry-leading brand loyalty rate started to nosedive in July, that data showed, when Musk endorsed Trump following an assassination attempt in Pennsylvania on the Republican nominee.",https://finance.yahoo.com/news/exclusive-teslas-brand-loyalty-collapsed-101547758.html?.tsrc=rss,2025-08-04 06:15:47-04:00,0,2025-08-04 06:15:47-04:00,31.66,31.66,31.66,N/A,33.31,0.0,0.0,N/A,-4.95,0.0,0.95
HMC,"McDonald’s Earnings, New Tariff Deadline, PMIs: What to Watch This Week","Earnings season marches on, with results from Walt Disney and McDonald’s among this week's highlights, along with President Trump's new tariff-hike deadline for many countries. Trump also said he would name replacements this week for Federal Reserve governor Adriana Kugler and Bureau of Labor Statistics chief Erika McEntarfer.",https://finance.yahoo.com/m/e823428f-68b3-337a-a897-c0f9dce9b878/mcdonald%E2%80%99s-earnings%2C-new.html?.tsrc=rss,2025-08-04 04:23:41-04:00,0,2025-08-04 04:23:41-04:00,31.66,31.66,31.66,N/A,33.31,0.0,0.0,N/A,-4.95,0.14,0.0
CRM,Did Alphabet Stock Just Become a Screaming Buy? CEO Sundar Pichai Says ‘Nearly All Gen AI Unicorns Use Google Cloud’,"Alphabet’s Q2 proves AI dominance with surging cloud adoption, innovative search, and strong monetization — positioning it as an AI backbone.",https://www.barchart.com/story/news/33857059/did-alphabet-stock-just-become-a-screaming-buy-ceo-sundar-pichai-says-nearly-all-gen-ai-unicorns-use-google-cloud?.tsrc=rss,2025-08-04 08:47:17-04:00,0,2025-08-04 08:47:17-04:00,251.76,251.76,251.76,N/A,268.4,0.0,0.0,N/A,-6.2,0.1,0.79
RIVN,Rivian Q2 Preview: Is the R2 Rollout Too Late?,Street expects --$0.65 EPS on $1.3 B revenue as the production pause and Volkswagen pact reset expectations.,https://finance.yahoo.com/news/rivian-q2-preview-r2-rollout-124604065.html?.tsrc=rss,2025-08-04 08:46:04-04:00,0,2025-08-04 08:46:04-04:00,12.66,12.66,12.66,N/A,13.91,0.0,0.0,N/A,-8.99,-0.3,0.0
RIVN,"Exclusive-Tesla's brand loyalty collapsed after Musk backed Trump, data shows","LOS ANGELES, August 4 (Reuters) -Tesla for years had more repeat U.S. customers than any other major automotive brand but its loyalty has plunged since CEO Elon Musk endorsed President Donald Trump last summer, according to data from research firm S&amp;P Global Mobility shared exclusively with Reuters.  The data, which has not been previously reported, shows Tesla’s customer loyalty peaked in June 2024, when 73% of Tesla-owning households in the market for a new car bought another Tesla, according to an S&amp;P analysis of vehicle-registration data in all 50 states.  That industry-leading brand loyalty rate started to nosedive in July, that data showed, when Musk endorsed Trump following an assassination attempt in Pennsylvania on the Republican nominee.",https://finance.yahoo.com/news/exclusive-teslas-brand-loyalty-collapsed-101547758.html?.tsrc=rss,2025-08-04 06:15:47-04:00,0,2025-08-04 06:15:47-04:00,12.66,12.66,12.66,N/A,13.91,0.0,0.0,N/A,-8.99,0.0,0.95
RIVN,"Slate, Rivian, Lucid face pricing pressure as tax credit repeal disrupts EV market","Slate promised an electric truck for less than $20,000 but raised the price point after the EV credit repeal. Rivian and Lucid now face similar sticker pressure.",https://finance.yahoo.com/news/slate-rivian-lucid-face-pricing-100000771.html?.tsrc=rss,2025-08-04 06:00:00-04:00,0,2025-08-04 06:00:00-04:00,12.66,12.66,12.66,N/A,13.91,0.0,0.0,N/A,-8.99,0.0,0.33
T,NYSE names public policy veteran Bryan Daniel as president of NYSE Texas,"His background in public policy could be key as NYSE works to strengthen its presence in a state that hosts the largest number of companies listed on the exchange.  Daniel is the chair of the Texas Workforce Commission, which oversees and provides workforce development services to employers and job seekers of the Lone Star State.",https://finance.yahoo.com/news/nyse-names-bryan-daniel-president-124442591.html?.tsrc=rss,2025-08-04 08:44:42-04:00,0,2025-08-04 08:44:42-04:00,27.73,27.73,27.73,N/A,27.62,0.0,0.0,N/A,0.4,0.0,0.13
T,AT&T Expands Office@Hand Business Communications Portfolio with RingCX AI-Powered Contact Center and RingSense Conversational Intelligence Solutions by RingCentral,"BELMONT, Calif. & DALLAS, August 04, 2025--RingCentral and AT&amp;T unveil new additions to the AT&amp;T Office@Hand portfolio",https://finance.yahoo.com/news/t-expands-office-hand-business-120000850.html?.tsrc=rss,2025-08-04 08:00:00-04:00,0,2025-08-04 08:00:00-04:00,27.73,27.73,27.73,N/A,27.62,0.0,0.0,N/A,0.4,-0.1,0.0
T,AT&T to Webcast Fireside Chat with Jeremy Legg at the KeyBanc Technology Leadership Forum on Aug. 11,Tune in for a fireside chat with Jeremy Legg at the KeyBanc Technology Leadership Forum scheduled to begin at 11 a.m. ET. Webcast available live and for replay.,https://finance.yahoo.com/news/t-webcast-fireside-chat-jeremy-114500377.html?.tsrc=rss,2025-08-04 07:45:00-04:00,0,2025-08-04 07:45:00-04:00,27.73,27.73,27.73,N/A,27.62,0.0,0.0,N/A,0.4,0.0,0.0
AMD,"AMD Q2 Earnings Loom--Should You Buy, Hold, or Sell?",Investors Brace for AMD's Earnings Amid Margin Pressure and High Valuation,https://finance.yahoo.com/news/amd-q2-earnings-loom-buy-124408014.html?.tsrc=rss,2025-08-04 08:44:08-04:00,0,2025-08-04 08:44:08-04:00,174.9,174.9,174.9,N/A,173.38,0.0,0.0,N/A,0.88,0.0,-0.3
AMD,Stock Market Today: Dow Bounces After Market Sell-Off; Tesla Rallies On Musk Pay Package (Live Coverage),The Dow Jones index bounced after Friday's market sell-off. Tesla stock rallied on a new pay package for CEO Elon Musk.,https://finance.yahoo.com/m/510a66c2-a7a2-3f6a-a050-85ddce9c69e8/stock-market-today%3A-dow.html?.tsrc=rss,2025-08-04 08:42:54-04:00,0,2025-08-04 08:42:54-04:00,174.9,174.9,174.9,N/A,173.38,0.0,0.0,N/A,0.88,0.14,-0.1
AMD,Should You Buy AMD Stock Ahead of Q2 Earnings on August 5?,"AMD stock has been on an impressive run ahead of its quarterly earnings. However, heading into Q2, there’s also an element of risk.",https://www.barchart.com/story/news/33856947/should-you-buy-amd-stock-ahead-of-q2-earnings-on-august-5?.tsrc=rss,2025-08-04 08:41:58-04:00,0,2025-08-04 08:41:58-04:00,174.9,174.9,174.9,N/A,173.38,0.0,0.0,N/A,0.88,0.0,0.3
PANW,Palo Alto Networks (PANW) to Acquire CyberArk in $25 Billion AI Security Deal,"Palo Alto Networks, Inc. (NASDAQ:PANW) is one of the AI Stocks Making Waves on Wall Street. On July 30, Reuters reported that Palo Alto Networks has agreed to buy Israeli peer CyberArk Software for an estimated $25 billion, its biggest deal yet. CEO Nikesh Arora strives to develop a comprehensive cyber security provider to capitalize on AI-driven demand. […]",https://finance.yahoo.com/news/palo-alto-networks-panw-acquire-235908242.html?.tsrc=rss,2025-08-01 19:59:08-04:00,2,2025-08-01 19:59:08-04:00,172.86,172.86,172.86,173.62,203.27,0.0,0.0,-0.44,-14.96,0.0,0.61
PANW,SentinelOne (S) Gains High-Level CCN Certification Enhancing Government Security Reach,"SentinelOne (S) recently achieved high-level certifications from the Spanish National Cryptologic Center, enhancing its capabilities in protecting sensitive government assets. Additionally, reports of potential acquisition talks with Palo Alto Networks pushed the company's stock price significantly during the month. Despite this, SentinelOne's on-market performance remained largely flat over the past month, aligning with broader market trends. The company's significant product certifications...",https://finance.yahoo.com/news/sentinelone-gains-high-level-ccn-181146617.html?.tsrc=rss,2025-08-01 14:11:46-04:00,2,2025-08-01 14:11:46-04:00,172.89,173.7,172.58,173.94,204.05,-0.47,0.18,-0.6,-15.27,0.0,0.36
PSX,Phillips 66 (NYSE:PSX) Has A Somewhat Strained Balance Sheet,"Some say volatility, rather than debt, is the best way to think about risk as an investor, but Warren Buffett famously...",https://finance.yahoo.com/news/phillips-66-nyse-psx-somewhat-130009885.html?.tsrc=rss,2025-08-01 09:00:09-04:00,3,2025-08-01 09:00:09-04:00,120.0,120.0,120.0,124.99,123.72,0.0,0.0,-3.99,-3.01,0.0,0.08
PSX,Phillips 66 hit with $800 million penalty in biofuel trade secrets case,"NEW YORK (Reuters) -U.S. refiner Phillips 66 was ordered to pay biofuel maker Propel Fuels $800 million in damages for stealing trade secrets to build up its renewable-fuel capabilities, according to a California state court document.  A state court in Alameda, California, on Wednesday ordered Phillips 66 to pay $195 million in punitive damages, in addition to $604.9 million in compensation the refiner was ordered to pay following a separate verdict.  In October, a jury in the California court decided that Houston-based Phillips 66 stole trade secrets under the guise of gathering information for a potential acquisition and then used that information to create a competing business.",https://finance.yahoo.com/news/phillips-66-hit-800-million-212717179.html?.tsrc=rss,2025-07-31 17:27:17-04:00,3,2025-07-31 17:27:17-04:00,123.56,123.56,123.42,124.44,124.27,0.0,0.11,-0.71,-0.57,0.0,-0.91
PSX,HF Sinclair beats profit estimates as refining margins soar,"(Reuters) -Refiner HF Sinclair beat Wall Street estimates for second-quarter profit on Thursday as higher refining margins in the mid-continent region helped offset lower refined product sales volumes.  Shares of HF Sinclair were up around 1.5% by 11:22 a.m. EDT.  Top U.S. refiners are posting improved results in the second quarter, rebounding from first-quarter losses as stronger-than-expected diesel margins lift earnings.",https://ca.finance.yahoo.com/news/hf-sinclair-beats-second-quarter-103415258.html?.tsrc=rss,2025-07-31 06:34:15-04:00,4,2025-07-31 06:34:15-04:00,124.99,124.99,124.99,125.66,125.49,0.0,0.0,-0.53,-0.4,0.0,0.62
MS,Are Wall Street Analysts Predicting Intel Stock Will Climb or Sink?,"Intel has underperformed the broader market over the past year, and analysts are cautious about the stock’s prospects.",https://www.barchart.com/story/news/33857148/are-wall-street-analysts-predicting-intel-stock-will-climb-or-sink?.tsrc=rss,2025-08-04 08:53:58-04:00,0,2025-08-04 08:53:58-04:00,140.74,140.74,140.74,N/A,142.74,0.0,0.0,N/A,-1.4,0.0,0.2
